iso,value
DNK,83
DEU,82
IRL,70
ESP,65
CYP,65
ITA,64
PRT,61
BEL,56
GBR,55
AUT,55
JPN,52
SWE,51
GRC,49
NZL,49
LUX,48
NLD,48
NOR,46
SVN,45
FRA,45
CHE,43
LIE,43
FIN,42
SVK,42
POL,39
EST,36
HRV,36
LTU,36
TUR,36
LVA,36
CZE,35
MLT,34
ROU,34
ALB,32
ISL,32
HUN,32
CHL,31
MNE,27
USA,26
BGR,25
KOR,23
MKD,23
BIH,22
MEX,19
SRB,16
KSV,16
